dataset,exp,representation,src,tgt,epoch,acc,mf1,mrr,map,a10,char_erate,ins_erate,del_erate,sub_erate,vow_erate,cons_erate,vow_frac,cons_frac,oth_frac,vow_ecount,cons_ecount,oth_ecount,all_ecount
news_2015_indic,2_bilingual,phonetic,kn,hi,12,0.314607,0.820587,0.388032,0.314607,0.502554,0.24515808641,0.0441979804668,0.0905479225294,0.110412183413,0.342480211082,0.155047729245,0.438217420662,0.361917623228,0.199864956111,649.0,536.0,296.0,1481.0
slavic_latin-ar,2_multilingual_zeroshot,onehot_shared,cs,ar,37,0.604839,0.867941,0.645044,0.604839,0.702621,,,,,,,,,,,,,
news_2015_indic,2_multilingual_zeroshot,phonetic,bn,ta,13,0.334365,,,,,,,,,,,,,,,,,
news_2015_indic,2_multilingual_zeroshot,phonetic,hi,kn,13,0.307614,,,,,,,,,,,,,,,,,
news_2015_indic,2_multilingual_zeroshot,phonetic,kn,hi,13,0.429009,,,,,,,,,,,,,,,,,
news_2015_indic,2_multilingual_zeroshot,phonetic,ta,bn,13,0.435583,,,,,,,,,,,,,,,,,
news_2015_reversed,2_multilingual_zeroshot,onehot_shared,hi,en,29,0.452429,0.88078,0.526957,0.452429,0.643725,,,,,,,,,,,,,
news_2015_reversed,2_multilingual_zeroshot,phonetic,hi,en,29,0.47166,0.88744,0.538478,0.47166,0.647773,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,bn,hi,14,0.291282,0.805292,0.349641,0.291282,0.443077,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,bn,kn,39,0.288843,0.811151,0.326416,0.288843,0.383733,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,hi,bn,19,0.383367,0.84119,0.437508,0.383367,0.517241,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,hi,ta,26,0.397149,0.856775,0.429769,0.397149,0.478615,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,kn,bn,25,0.393939,0.83437,0.434529,0.393939,0.494949,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,kn,ta,33,0.417184,0.858785,0.456099,0.417184,0.515528,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,ta,hi,22,0.29478,0.78684,0.345027,0.29478,0.429887,,,,,,,,,,,,,
news_2015_indic,7_multilingual,phonetic,ta,kn,34,0.310238,0.799666,0.351568,0.310238,0.41365,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,bn,hi,9,0.195897,0.764759,0.248188,0.195897,0.327179,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,bn,kn,12,0.106361,0.736173,0.176903,0.106361,0.304484,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,hi,bn,11,0.230223,0.760801,0.286258,0.230223,0.366126,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,hi,ta,28,0.106925,0.614587,0.172301,0.106925,0.294297,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,kn,bn,10,0.234343,0.768629,0.293418,0.234343,0.383838,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,kn,ta,27,0.1294,0.625471,0.212993,0.1294,0.365424,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,ta,hi,8,0.169908,0.732339,0.220778,0.169908,0.29478,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,phonetic,ta,kn,12,0.142709,0.725649,0.222148,0.142709,0.365047,,,,,,,,,,,,,
ar-slavic_latin,3_multilingual_prefix_tgt,onehot_shared,ar,cs,40,0.396777,0.785953,0.4309,0.396777,0.483384,,,,,,,,,,,,,
ar-slavic_latin,3_multilingual_prefix_tgt,onehot_shared,ar,pl,40,0.272543,0.74824,0.298659,0.272543,0.344478,,,,,,,,,,,,,
ar-slavic_latin,3_multilingual_prefix_tgt,onehot_shared,ar,sk,39,0.413618,0.812938,0.459859,0.413618,0.53252,,,,,,,,,,,,,
ar-slavic_latin,3_multilingual_prefix_tgt,onehot_shared,ar,sl,39,0.491353,0.842469,0.536406,0.491353,0.607325,,,,,,,,,,,,,
ar-slavic_latin,7_multilingual,onehot_shared,ar,cs,40,0.359517,0.778288,0.435012,0.359517,0.547835,,,,,,,,,,,,,
ar-slavic_latin,7_multilingual,onehot_shared,ar,pl,38,0.26849,0.75285,0.33747,0.26849,0.450861,,,,,,,,,,,,,
ar-slavic_latin,7_multilingual,onehot_shared,ar,sk,39,0.401423,0.805415,0.477185,0.401423,0.594512,,,,,,,,,,,,,
ar-slavic_latin,7_multilingual,onehot_shared,ar,sl,37,0.4588,0.83582,0.549084,0.4588,0.681587,,,,,,,,,,,,,
news_2015_indic,2_bilingual,onehot,bn,hi,9,0.190769,0.765721,0.25388,0.190769,0.358974,0.298532558851,0.067563436258,0.0891164781412,0.141852644451,0.454898157129,0.185235262304,0.480286738351,0.350742447517,0.168970814132,938.0,685.0,330.0,1953.0
news_2015_indic,2_bilingual,onehot,bn,kn,11,0.181439,0.75613,0.19629,0.181439,0.221064,0.319673211227,0.0936882329688,0.075108709975,0.150876268283,0.483761512361,0.247718383312,0.411376751855,0.391591096455,0.19703215169,998.0,950.0,478.0,2426.0
news_2015_indic,2_bilingual,onehot,hi,bn,31,0.254564,0.786226,0.322481,0.254564,0.425963,0.282201572552,0.0736240171551,0.0812008577555,0.127376697641,0.373475009839,0.194535519126,0.480749746707,0.360688956434,0.158561296859,949.0,712.0,313.0,1974.0
news_2015_indic,2_bilingual,onehot,hi,ta,12,0.286151,0.827485,0.375305,0.286151,0.516293,0.223620933522,0.04243281471,0.066053748232,0.11513437058,0.349702380952,0.171153846154,0.445920303605,0.394054395952,0.160025300443,705.0,623.0,253.0,1581.0
news_2015_indic,2_bilingual,onehot,kn,bn,33,0.240404,0.78215,0.301835,0.240404,0.39596,0.27992527662,0.0768788619054,0.0748670786032,0.128179336112,0.3753546818,0.184741144414,0.475359342916,0.348049281314,0.17659137577,926.0,678.0,344.0,1948.0
news_2015_indic,2_bilingual,onehot,kn,ta,7,0.308489,0.826252,0.331246,0.308489,0.36853,0.231401445373,0.0583817486184,0.057814935525,0.11520476123,0.344550477147,0.180259883882,0.420085731782,0.399265156154,0.180649112064,686.0,652.0,295.0,1633.0
news_2015_indic,2_bilingual,onehot,ta,hi,16,0.192426,0.733139,0.251996,0.192426,0.34391,0.316844700082,0.0604765817584,0.0782251437962,0.178142974528,0.383474576271,0.256210283073,0.375518672199,0.460062240664,0.164419087137,724.0,887.0,317.0,1928.0
news_2015_indic,2_bilingual,onehot,ta,kn,18,0.198552,0.751745,0.265908,0.198552,0.367115,0.290930681312,0.0712483301173,0.0580377022414,0.161644648954,0.371188222923,0.266298020955,0.360204081633,0.466836734694,0.172959183673,706.0,915.0,339.0,1960.0
news_2015_indic,2_bilingual,onehot,bn,ta,10,0.162023,0.754717,0.179009,0.162023,0.205366,0.309241555131,0.0648820905035,0.082982791587,0.16137667304,0.46963375058,0.251303700025,0.417559769167,0.417147568013,0.165292662819,1013.0,1012.0,401.0,2426.0
news_2015_indic,2_bilingual,onehot,ta,bn,25,0.184772,0.719466,0.237124,0.184772,0.324873,0.335618394744,0.0752642102256,0.0764067409312,0.183947443588,0.361813076615,0.29795808705,0.383829787234,0.471914893617,0.144255319149,902.0,1109.0,339.0,2350.0
news_2015_indic,2_bilingual,onehot,hi,kn,24,0.346626,0.831942,0.382924,0.346626,0.435583,0.223197308761,0.0506069913705,0.0652332894544,0.107357027936,0.34355179704,0.163677768289,0.425950196592,0.376802096986,0.197247706422,650.0,575.0,301.0,1526.0
news_2015_indic,2_bilingual,onehot,kn,hi,8,0.341164,0.819678,0.414896,0.341164,0.531154,0.249713443589,0.0545275912887,0.0803995415097,0.114786310791,0.348074921956,0.164084911073,0.43868852459,0.375081967213,0.186229508197,669.0,572.0,284.0,1525.0
news_2015_indic,2_multilingual,onehot_shared,bn,hi,10,0.276923,0.806867,0.292821,0.276923,0.321026,0.240459199504,0.0536766987279,0.0591064225877,0.127676078188,0.363416988417,0.145494626619,0.485806451613,0.34064516129,0.173548387097,753.0,528.0,269.0,1550.0
news_2015_indic,2_multilingual,onehot_shared,bn,kn,16,0.277372,0.815764,0.315719,0.277372,0.383733,0.228350799779,0.0515719801434,0.065361279647,0.111417539989,0.373469387755,0.151112316875,0.442028985507,0.336352657005,0.221618357488,732.0,557.0,367.0,1656.0
news_2015_indic,2_multilingual,onehot_shared,hi,bn,40,0.391481,0.841052,0.417309,0.391481,0.458418,0.212490922295,0.0588235294118,0.0623093681917,0.0913580246914,0.291297340854,0.131310344828,0.494190020506,0.325358851675,0.18045112782,723.0,476.0,264.0,1463.0
news_2015_indic,2_multilingual,onehot_shared,hi,ta,22,0.386965,0.859921,0.424993,0.386965,0.489817,0.175839683884,0.044594976009,0.0406435224386,0.0906011854361,0.299200799201,0.122331691297,0.480738362761,0.358747993579,0.16051364366,599.0,447.0,200.0,1246.0
news_2015_indic,2_multilingual,onehot_shared,kn,bn,40,0.374747,0.835052,0.398451,0.374747,0.435354,0.211354610972,0.0551551698779,0.0616267098103,0.094572731284,0.296373488954,0.126417704011,0.494780793319,0.318023660404,0.187195546277,711.0,457.0,269.0,1437.0
