dataset,exp,representation,src,tgt,epoch,acc,mf1,mrr,map,a10,char_erate,ins_erate,del_erate,sub_erate,vow_erate,cons_erate,vow_frac,cons_frac,oth_frac,vow_ecount,cons_ecount,oth_ecount,all_ecount
news_2015_reversed,2_bilingual,onehot,ta,en,23,0.232232,0.815922,0.299633,0.232232,0.408408,0.225605719582,0.0393221236595,0.061035350192,0.12524824573,0.206327835746,0.250881730543,0.359741784038,0.62617370892,0.0140845070423,,,,
news_2015_reversed,2_bilingual,onehot,kn,en,36,0.337675,0.872303,0.403625,0.337675,0.509018,0.170141223941,0.0403496973773,0.0544720914593,0.0753194351042,0.242195540309,0.128547579299,0.558102766798,0.426086956522,0.0158102766798,,,,
news_2015_reversed,2_multilingual,onehot_shared,hi,en,37,0.511134,0.905594,0.588445,0.511134,0.710526,0.125729803123,0.028377460964,0.0442634080109,0.053088934148,0.193197278912,0.0841702534672,0.613390928726,0.380129589633,0.00647948164147,,,,
news_2015_reversed,2_multilingual,onehot_shared,bn,en,22,0.540102,0.905045,0.603012,0.540102,0.694416,0.122908093278,0.0303155006859,0.0363511659808,0.0562414266118,0.161028893587,0.100640873487,0.510044642857,0.473214285714,0.0167410714286,,,,
news_2015_reversed,2_multilingual,onehot_shared,ta,en,31,0.259259,0.820032,0.348999,0.259259,0.491491,0.218846205327,0.0287779413733,0.0674608486146,0.122607415339,0.198586334567,0.239125323301,0.360856269113,0.622018348624,0.017125382263,,,,
news_2015_reversed,2_multilingual,onehot_shared,kn,en,22,0.476954,0.901708,0.550601,0.476954,0.663327,0.132220093074,0.0234054202026,0.0531070353134,0.0557076375582,0.183533447684,0.0996899594562,0.553830227743,0.432712215321,0.0134575569358,,,,
ar-slavic_latin,2_multilingual,onehot_shared,ar,cs,38,0.367573,0.781283,0.404314,0.367573,0.458207,0.262684469431,0.0553759662684,0.0792691496838,0.128039353479,,,,,,,,,
ar-slavic_latin,2_multilingual,onehot_shared,ar,pl,35,0.242148,0.73997,0.286643,0.242148,0.355623,0.308105814118,0.05290705899,0.0879898146838,0.167208940444,,,,,,,,,
ar-slavic_latin,2_multilingual,onehot_shared,ar,sk,31,0.387195,0.802149,0.430488,0.387195,0.49187,0.238406907116,0.0524996518591,0.0738058766189,0.112101378638,,,,,,,,,
ar-slavic_latin,2_multilingual,onehot_shared,ar,sl,37,0.44354,0.826521,0.475822,0.44354,0.525941,0.220329438266,0.0542024496692,0.065042939603,0.101084048993,,,,,,,,,
ar-slavic_latin,2_bilingual,onehot,ar,cs,11,0.120846,0.690138,0.140869,0.120846,0.180262,0.363572531948,0.0561718859711,0.118522679399,0.188877966578,,,,,,,,,
ar-slavic_latin,2_bilingual,onehot,ar,pl,12,0.122594,0.70131,0.164725,0.122594,0.234043,0.35114822547,0.0681976339596,0.095059151009,0.187891440501,,,,,,,,,
ar-slavic_latin,2_bilingual,onehot,ar,sk,8,0.138211,0.716832,0.153879,0.138211,0.178862,0.341480446927,0.0497206703911,0.128631284916,0.16312849162,,,,,,,,,
ar-slavic_latin,2_bilingual,onehot,ar,sl,12,0.136317,0.722219,0.160565,0.136317,0.202442,0.333426183844,0.0643454038997,0.0983286908078,0.170752089136,,,,,,,,,
news_2015_reversed,2_multilingual,phonetic,hi,en,24,0.548583,0.917324,0.640671,0.548583,0.781377,0.108226291336,0.0221371959552,0.0383984695272,0.0476906258541,0.175510204082,0.0638450502152,0.651515151515,0.337121212121,0.0113636363636,,,,
news_2015_reversed,2_multilingual,phonetic,bn,en,19,0.55533,0.913609,0.617563,0.55533,0.711675,0.112270107055,0.029783145759,0.0318418885534,0.0506450727422,0.151162790698,0.0892475670544,0.524449877751,0.459657701711,0.0158924205379,,,,
news_2015_reversed,2_multilingual,phonetic,ta,en,16,0.296296,0.841914,0.397214,0.296296,0.558559,0.192478173271,0.0253861652116,0.0584284754869,0.108663532572,0.170649612925,0.21138020221,0.353803210049,0.627355198883,0.0188415910677,,,,
news_2015_reversed,2_multilingual,phonetic,kn,en,32,0.533066,0.915102,0.607281,0.533066,0.720441,0.113608332191,0.0222009044813,0.0427572975195,0.0486501301905,0.166380789022,0.0779871213928,0.585042219542,0.394451145959,0.0205066344994,,,,
