conll16|1000|phonetic|hi|16.661
conll16|2000|phonetic|hi|15.217
conll16|5000|phonetic|hi|13.872
conll16|15000|phonetic|hi|12.790
conll16|25000|phonetic|hi|12.258
conll16|35000|phonetic|hi|11.636
conll16|1000|onehot|hi|16.774
conll16|2000|onehot|hi|15.369
conll16|5000|onehot|hi|13.700
conll16|15000|onehot|hi|13.700
conll16|25000|onehot|hi|13.067
conll16|35000|onehot|hi|12.571
conll16|1000|phonetic|kn|14.648
conll16|2000|phonetic|kn|12.468
conll16|5000|phonetic|kn|11.341
conll16|15000|phonetic|kn|9.916
conll16|25000|phonetic|kn|9.141
conll16|35000|phonetic|kn|8.675
conll16|1000|onehot|kn|14.657
conll16|2000|onehot|kn|12.398
conll16|5000|onehot|kn|11.783
conll16|15000|onehot|kn|10.918
conll16|25000|onehot|kn|9.771
conll16|35000|onehot|kn|9.220
conll16|1000|phonetic|bn|15.367
conll16|2000|phonetic|bn|13.890
conll16|5000|phonetic|bn|12.463
conll16|15000|phonetic|bn|11.923
conll16|25000|phonetic|bn|11.126
conll16|35000|phonetic|bn|10.693
conll16|1000|onehot|bn|15.500
conll16|2000|onehot|bn|13.923
conll16|5000|onehot|bn|12.430
conll16|15000|onehot|bn|12.687
conll16|25000|onehot|bn|12.031
conll16|35000|onehot|bn|11.577
conll16|1000|phonetic|ta|13.211
conll16|2000|phonetic|ta|11.412
conll16|5000|phonetic|ta|9.657
conll16|15000|phonetic|ta|8.842
conll16|25000|phonetic|ta|8.376
conll16|35000|phonetic|ta|8.106
conll16|1000|onehot|ta|12.966
conll16|2000|onehot|ta|11.042
conll16|5000|onehot|ta|9.672
conll16|15000|onehot|ta|9.706
conll16|25000|onehot|ta|8.780
conll16|35000|onehot|ta|8.379
news12_old|1000|phonetic|hi|17.309
news12_old|2000|phonetic|hi|15.206
news12_old|5000|phonetic|hi|12.981
news12_old|8000|phonetic|hi|12.188
news12_old|10000|phonetic|hi|11.999
news12_old|13000|phonetic|hi|11.783
news12_old|1000|onehot|hi|17.730
news12_old|2000|onehot|hi|15.629
news12_old|5000|onehot|hi|13.095
news12_old|8000|onehot|hi|12.577
news12_old|10000|onehot|hi|12.313
news12_old|13000|onehot|hi|12.223
news12_old|1000|phonetic|kn|12.283
news12_old|2000|phonetic|kn|11.152
news12_old|5000|phonetic|kn|9.876
news12_old|8000|phonetic|kn|9.285
news12_old|10000|phonetic|kn|9.209
news12_old|13000|phonetic|kn|8.942
news12_old|1000|onehot|kn|12.436
news12_old|2000|onehot|kn|11.241
news12_old|5000|onehot|kn|9.875
news12_old|8000|onehot|kn|9.498
news12_old|10000|onehot|kn|9.388
news12_old|13000|onehot|kn|9.135
news12|1000|phonetic|hi|16.789
news12|2000|phonetic|hi|15.157
news12|5000|phonetic|hi|12.735
news12|8000|phonetic|hi|11.869
news12|10000|phonetic|hi|11.698
news12|13000|phonetic|hi|11.209
news12|1000|onehot|hi|17.524
news12|2000|onehot|hi|14.879
news12|5000|onehot|hi|12.704
news12|8000|onehot|hi|12.285
news12|10000|onehot|hi|12.017
news12|13000|onehot|hi|12.036
news12|1000|phonetic|kn|12.315
news12|2000|phonetic|kn|11.142
news12|5000|phonetic|kn|9.882
news12|8000|phonetic|kn|9.488
news12|10000|phonetic|kn|9.111
news12|13000|phonetic|kn|8.773
news12|1000|onehot|kn|12.494
news12|2000|onehot|kn|11.159
news12|5000|onehot|kn|9.926
news12|8000|onehot|kn|9.511
news12|10000|onehot|kn|9.368
news12|13000|onehot|kn|9.289
